Year,Route,Borough,Avg. Ridership
2016,B1,Brooklyn,"19,828"
2016,B2,Brooklyn,"2,464"
2016,B3,Brooklyn,"11,803"
2016,B4,Brooklyn,"6,195"
2016,B6,Brooklyn,"41,320"
2016,B7,Brooklyn,"6,066"
2016,B8,Brooklyn,"19,616"
2016,B9,Brooklyn,"14,404"
2016,B11,Brooklyn,"11,273"
2016,B12,Brooklyn,"15,380"
2016,B13,Brooklyn,"6,290"
2016,B14,Brooklyn,"7,243"
2016,B15,Brooklyn,"22,282"
2016,B16,Brooklyn,"6,739"
2016,B17,Brooklyn,"11,279"
2016,B20,Brooklyn,"7,042"
2016,B24,Brooklyn,"2,390"
2016,B25,Brooklyn,"10,048"
2016,B26,Brooklyn,"9,723"
2016,B31,Brooklyn,"2,753"
2016,B32,Brooklyn,819
2016,B35,Brooklyn,"31,886"
2016,B36,Brooklyn,"14,026"
2016,B37,Brooklyn,"2,380"
2016,B38,Brooklyn,"19,099"
2016,B39,Brooklyn,260
2016,B41,Brooklyn,"27,082"
2016,B42,Brooklyn,"4,186"
2016,B43,Brooklyn,"10,540"
2016,B44Lcl/SBS,Brooklyn,"37,418"
2016,B45,Brooklyn,"6,019"
2016,B46Lcl/SBS,Brooklyn,"43,463"
2016,B47,Brooklyn,"10,436"
2016,B48,Brooklyn,"3,851"
2016,B49,Brooklyn,"12,452"
2016,B52,Brooklyn,"12,435"
2016,B54,Brooklyn,"10,466"
2016,B57,Brooklyn,"7,244"
2016,B60,Brooklyn,"9,906"
2016,B61,Brooklyn,"9,945"
2016,B62,Brooklyn,"7,882"
2016,B63,Brooklyn,"11,607"
2016,B64,Brooklyn,"5,732"
2016,B65,Brooklyn,"3,398"
2016,B67,Brooklyn,"4,504"
2016,B68,Brooklyn,"14,159"
2016,B69,Brooklyn,"4,225"
2016,B70,Brooklyn,"5,942"
2016,B74,Brooklyn,"4,225"
2016,B82Lcl/SBS,Brooklyn,"27,959"
2016,B83,Brooklyn,"8,281"
2016,B84,Brooklyn,595
2016,B OTHER,Brooklyn,452
2016,Bx1/2,Brooklyn,"36,487"
2016,Bx3,Brooklyn,"14,921"
2016,Bx4,Brooklyn,"11,411"
2016,Bx5,Brooklyn,"11,194"
2016,Bx6Lcl/SBS,Brooklyn,"23,800"
2016,Bx7,Brooklyn,"13,720"
2016,Bx8,Brooklyn,"7,282"
2016,Bx9,Brooklyn,"27,175"
2016,Bx10,Brooklyn,"11,266"
2016,Bx11,Brooklyn,"14,269"
2016,Bx12Lcl/SBS,Brooklyn,"48,124"
2016,Bx13,Brooklyn,"12,094"
2016,Bx15,Brooklyn,"28,156"
2016,Bx16,Brooklyn,"8,239"
2016,Bx17,Brooklyn,"10,219"
2016,Bx18,Brooklyn,"1,920"
2016,Bx19,Brooklyn,"29,378"
2016,Bx20,Brooklyn,772
2016,Bx21,Brooklyn,"15,234"
2016,Bx22,Brooklyn,"14,690"
2016,Bx24,Brooklyn,754
2016,Bx26,Brooklyn,"7,988"
2016,Bx27,Brooklyn,"7,435"
2016,Bx28/38,Brooklyn,"15,750"
2016,Bx29,Brooklyn,"2,476"
2016,Bx30,Brooklyn,"9,680"
2016,Bx31,Brooklyn,"10,019"
2016,Bx32,Brooklyn,"6,809"
2016,Bx33,Brooklyn,"2,866"
2016,Bx34,Brooklyn,"4,268"
2016,Bx35,Brooklyn,"17,651"
2016,Bx36,Brooklyn,"30,474"
2016,Bx39,Brooklyn,"16,434"
2016,Bx40/42,Brooklyn,"25,454"
2016,Bx41Lcl/SBS,Brooklyn,"23,558"
2016,Bx46,Brooklyn,619
2016,Bx OTHER,Brooklyn,240
2016,M1,Manhatten,"10,436"
2016,M2,Manhatten,"9,275"
2016,M3,Manhatten,"13,149"
2016,M4,Manhatten,"16,235"
2016,M5,Manhatten,"10,063"
2016,M7,Manhatten,"12,905"
2016,M8,Manhatten,"2,107"
2016,M9,Manhatten,"5,333"
2016,M10,Manhatten,"6,874"
2016,M11,Manhatten,"10,152"
2016,M12,Manhatten,515
2016,M14Lcl/SBS,Manhatten,"30,558"
2016,M15Lcl/SBS,Manhatten,"44,797"
2016,M20,Manhatten,"2,446"
2016,M21,Manhatten,"1,402"
2016,M22,Manhatten,"2,732"
2016,M23SBS,Manhatten,"12,308"
2016,M31,Manhatten,"9,995"
2016,M34SBS,Manhatten,"14,901"
2016,M35,Manhatten,"1,038"
2016,M42,Manhatten,"10,596"
2016,M50,Manhatten,"2,785"
2016,M57,Manhatten,"6,065"
2016,M60SBS,Manhatten,"16,751"
2016,M66,Manhatten,"11,195"
2016,M72,Manhatten,"5,675"
2016,M79SBS,Manhatten,"13,892"
2016,M86SBS,Manhatten,"24,746"
2016,M96,Manhatten,"15,034"
2016,M98,Manhatten,"1,863"
2016,M100,Manhatten,"17,006"
2016,M101,Manhatten,"24,275"
2016,M102,Manhatten,"12,292"
2016,M103,Manhatten,"9,786"
2016,M104,Manhatten,"8,223"
2016,M106,Manhatten,"2,476"
2016,M116,Manhatten,"10,296"
2016,M OTHER,Manhatten,302
2016,Q1,Queens,"4,381"
2016,Q2,Queens,"5,722"
2016,Q3,Queens,"9,684"
2016,Q4,Queens,"9,242"
2016,Q5,Queens,"11,728"
2016,Q12,Queens,"11,099"
2016,Q13,Queens,"8,516"
2016,Q15,Queens,"5,876"
2016,Q16,Queens,"4,054"
2016,Q17,Queens,"17,224"
2016,Q20,Queens,"14,192"
2016,Q24,Queens,"8,512"
2016,Q26,Queens,"1,466"
2016,Q27,Queens,"24,580"
2016,Q28,Queens,"9,893"
2016,Q30,Queens,"10,555"
2016,Q31,Queens,"5,692"
2016,Q32,Queens,"9,454"
2016,Q36,Queens,"6,101"
2016,Q42,Queens,"1,195"
2016,Q43,Queens,"14,853"
2016,Q44SBS,Queens,"27,712"
2016,Q46,Queens,"21,468"
2016,Q48,Queens,"2,854"
2016,Q54,Queens,"11,952"
2016,Q55,Queens,"7,343"
2016,Q56,Queens,"7,862"
2016,Q58,Queens,"29,412"
2016,Q59,Queens,"7,127"
2016,Q76,Queens,"5,742"
2016,Q77,Queens,"6,413"
2016,Q83,Queens,"8,664"
2016,Q84,Queens,"4,441"
2016,Q85,Queens,"11,820"
2016,Q88,Queens,"11,010"
2016,Q OTHER,Queens,466
2016,S40/90,Staten Island,"4,629"
2016,S42,Staten Island,914
