Route,Avg. 2011 Ridership,Avg. 2016 Ridership,Ridership Change %,# of Stops,# of Stops near Subway,Borough
BX1,38891,36487,-6%,47,19,Bronx
BX2,38891,36487,-6%,50,18,Bronx
BX3,15800,14921,-6%,28,3,Bronx
BX4,12141,11411,-6%,32,16,Bronx
BX4A,12141,11411,-6%,35,13,Bronx
BX5,12186,11194,-8%,36,4,Bronx
BX6,22146,23800,7%,32,6,Bronx
BX7,14771,13720,-7%,43,8,Bronx
BX8,6763,7282,8%,55,4,Bronx
BX9,26868,27175,1%,37,9,Bronx
BX10,10500,11266,7%,41,5,Bronx
BX11,13312,14269,7%,35,6,Bronx
BX12,45436,48124,6%,32,6,Bronx
BX12 SBS,45436,48124,6%,16,5,Bronx
BX13,10437,12094,16%,26,2,Bronx
BX15,20096,28156,40%,45,12,Bronx
BX16,7566,8239,9%,37,5,Bronx
BX17,10075,10219,1%,37,7,Bronx
BX18,1720,1920,12%,17,3,Bronx
BX19,30712,29378,-4%,44,15,Bronx
BX20,948,772,-19%,22,5,Bronx
BX21,15148,15234,1%,43,8,Bronx
BX22,15700,14690,-6%,39,3,Bronx
BX23,4498,3829,-15%,24,2,Bronx
BX24,326,754,131%,26,4,Bronx
BX26,7636,7988,5%,38,4,Bronx
BX27,7591,7435,-2%,25,4,Bronx
BX28,15373,15750,2%,58,9,Bronx
BX29,2669,2476,-7%,23,1,Bronx
BX30,9492,9680,2%,46,2,Bronx
BX31,10371,10019,-3%,42,2,Bronx
BX32,6593,6809,3%,39,10,Bronx
BX33,3238,2866,-11%,21,9,Bronx
BX34,4498,4268,-5%,24,4,Bronx
BX35,15459,17651,14%,24,5,Bronx
BX36,29751,30474,2%,49,6,Bronx
BX38,15373,15750,2%,50,9,Bronx
BX39,16423,16434,0%,47,12,Bronx
BX40,25996,25454,-2%,59,4,Bronx
BX41,19248,23558,22%,30,2,Bronx
BX41 SBS,19248,23558,22%,12,2,Bronx
BX42,25996,25454,-2%,59,4,Bronx
BX46,0,619,,14,2,Bronx
B1,18717,19828,6%,50,12,Brooklyn
B2,2591,2464,-5%,21,1,Brooklyn
B3,12958,11803,-9%,45,6,Brooklyn
B4,4643,6195,33%,66,7,Brooklyn
B6,41765,41320,-1%,83,8,Brooklyn
B7,5951,6066,2%,56,4,Brooklyn
B8,19645,19616,0%,79,9,Brooklyn
B9,13441,14404,7%,56,5,Brooklyn
B11,11722,11273,-4%,42,5,Brooklyn
B12,17954,15380,-14%,33,4,Brooklyn
B13,5115,6290,23%,62,13,Brooklyn
B14,7571,7243,-4%,46,5,Brooklyn
B15,21985,22282,1%,79,5,Brooklyn
B16,6959,6739,-3%,62,6,Brooklyn
B17,13250,11279,-15%,49,1,Brooklyn
B20,8000,7042,-12%,58,12,Brooklyn
B24,2614,2390,-9%,40,8,Brooklyn
B25,11205,10048,-10%,41,23,Brooklyn
B26,10145,9723,-4%,43,14,Brooklyn
B31,2722,2753,1%,23,1,Brooklyn
B32,0,819,,22,2,Brooklyn
B35,35680,31886,-11%,54,5,Brooklyn
B36,15030,14026,-7%,42,1,Brooklyn
B37,0,2380,,42,1,Brooklyn
B38,20663,19099,-8%,50,12,Brooklyn
B39,0,260,,4,1,Brooklyn
B41,33898,27082,-20%,53,12,Brooklyn
B42,4473,4186,-6%,11,1,Brooklyn
B43,10787,10540,-2%,52,6,Brooklyn
B44,39516,37418,-5%,68,13,Brooklyn
B44 SBS,39516,37418,-5%,19,6,Brooklyn
B45,7201,6019,-16%,32,7,Brooklyn
B46,47858,43463,-9%,54,7,Brooklyn
B46 SBS,47858,43463,-9%,14,1,Brooklyn
B47,11691,10436,-11%,58,5,Brooklyn
B48,3145,3851,22%,45,10,Brooklyn
B49,15506,12452,-20%,68,2,Brooklyn
B52,12586,12435,-1%,37,13,Brooklyn
B54,11875,10466,-12%,33,8,Brooklyn
B57,5993,7244,21%,55,5,Brooklyn
