Average Weekday New York City Transit Bus Ridership,,,,,,,,,,,
Route,*,2016,2017,2018,2019,2020,2021,,2020-2021 Change,,2021 Rank
,,,,,,,,,,,
B1,,"19,828","18,987","18,180","18,838","9,918","9,696",,-222,-2.2%,26
B2,,"2,464","2,216","2,088","2,174",969,"1,069",,+100,+10.3%,162
B3,,"11,803","11,544","11,309","11,554","7,062","7,163",,+101,+1.4%,41
B4,,"6,195","6,207","6,192","6,069","2,159","3,262",,"+1,103",+51.1%,114
B6,,"41,320","40,135","35,963","34,062","20,631","19,026",,"-1,605",-7.8%,4
B7,,"6,066","5,814","5,091","4,920","3,030","2,953",,-77,-2.6%,124
B8,,"19,616","18,981","18,388","18,036","6,767","10,458",,"+3,691",+54.5%,19
B9,,"14,404","14,495","14,416","13,857","4,928","7,795",,"+2,867",+58.2%,34
B11,,"11,273","10,471","10,377","10,488","4,146","6,418",,"+2,272",+54.8%,53
B12,,"15,380","13,604","12,124","11,542","7,956","7,138",,-818,-10.3%,42
B13,,"6,290","6,193","6,084","6,259","4,220","3,979",,-241,-5.7%,101
B14,,"7,243","6,577","5,900","5,442","3,601","3,115",,-486,-13.5%,119
B15,,"22,282","19,827","17,977","16,510","11,388","10,074",,"-1,314",-11.5%,22
B16,,"6,739","6,760","6,184","6,150","2,154","3,155",,"+1,001",+46.5%,115
B17,,"11,279","10,403","9,382","9,527","6,154","5,510",,-644,-10.5%,67
B20,,"7,042","6,765","6,315","6,008","3,917","3,591",,-326,-8.3%,109
B24,,"2,390","2,293","2,449","2,563","1,709","1,509",,-200,-11.7%,155
B25,,"10,048","8,880","7,874","7,631","5,256","4,534",,-722,-13.7%,89
B26,,"9,723","9,011","8,234","8,038","5,081","4,619",,-462,-9.1%,87
B31,,"2,753","2,721","2,619","2,671","1,260","1,355",,+95,+7.5%,156
B32,,819,849,820,904,470,452,,-18,-3.7%,177
B35,,"31,886","29,899","27,273","24,887","17,811","14,821",,"-2,990",-16.8%,9
B36,,"14,026","13,108","12,305","11,795","7,401","7,289",,-112,-1.5%,39
B37,,"2,380","2,558","2,300","2,196",835,"1,293",,+458,+54.8%,157
B38,,"19,099","18,828","18,011","16,660","6,054","8,911",,"+2,857",+47.2%,27
B39,,260,239,220,218,287,153,,-134,-46.8%,187
B41,,"27,082","24,970","22,967","22,553","15,934","13,853",,"-2,081",-13.1%,10
B42,,"4,186","3,885","3,546","3,010","1,839","1,637",,-202,-11.0%,152
B43,,"10,540","9,832","9,346","9,196","3,292","4,892",,"+1,600",+48.6%,76
B44Lcl/SBS,,"37,418","34,877","32,334","31,375","20,445","18,018",,"-2,427",-11.9%,5
B45,,"6,019","5,510","4,973","4,846","3,315","2,790",,-525,-15.8%,129
B46Lcl/SBS,1,"43,463","41,786","38,120","36,375","22,696","19,206",,"-3,490",-15.4%,3
B47,,"10,436","9,495","9,252","9,017","5,821","5,455",,-366,-6.3%,68
B48,,"3,851","3,683","3,534","3,406","2,100","1,812",,-288,-13.7%,148
B49,,"12,452","11,674","10,886","10,653","7,427","6,149",,"-1,278",-17.2%,56
B52,,"12,435","11,326","9,940","9,317","5,854","5,640",,-214,-3.7%,63
B54,,"10,466","9,640","9,197","8,590","5,308","4,849",,-459,-8.6%,79
B57,,"7,244","7,064","6,851","6,837","4,487","4,384",,-103,-2.3%,93
B60,,"9,906","9,443","8,364","8,166","5,283","4,497",,-786,-14.9%,91
B61,,"9,945","9,377","8,876","8,438","3,088","5,010",,"+1,922",+62.3%,74
B62,,"7,882","7,292","6,841","6,762","4,007","3,803",,-204,-5.1%,106
B63,,"11,607","12,008","11,148","11,085","4,079","6,350",,"+2,271",+55.7%,54
B64,,"5,732","5,273","5,442","5,472","3,299","3,064",,-235,-7.1%,122
B65,,"3,398","3,151","2,795","3,176","2,057","1,850",,-207,-10.1%,144
B67,,"4,504","4,511","4,441","4,618","1,527","2,170",,+643,+42.1%,137
B68,,"14,159","13,586","12,660","12,180","4,726","7,685",,"+2,959",+62.6%,36
B69,,"4,225","4,308","4,134","4,323","1,398","1,970",,+572,+40.9%,139
B70,,"5,942","6,229","6,520","7,065","2,230","3,423",,"+1,193",+53.5%,111
B74,,"4,225","3,911","3,598","3,330","2,074","1,834",,-240,-11.6%,145
B82Lcl/SBS,2,"27,959","26,599","25,126","26,775","17,012","16,917",,-95,-0.6%,7
B83,,"8,281","7,795","7,024","6,631","4,112","3,805",,-307,-7.5%,105
B84,,595,548,544,514,274,249,,-25,-9.3%,183
B OTHER,,452,385,683,"2,428",802,"2,901",,,,
Brooklyn Local,,"607,012","575,523","537,217","525,135","299,650","303,552",,"+3,902",+1.3%,
,,,,,,,,,,,
Bx1/2,,"36,487","33,374","30,134","27,559","16,429","15,721",,-708,-4.3%,8
Bx3,,"14,921","14,186","12,538","11,252","7,882","6,705",,"-1,177",-14.9%,47
Bx4,,"11,411","9,904","9,043","8,370","5,321","4,736",,-585,-11.0%,83
Bx5,,"11,194","10,236","9,133","8,955","4,217","4,661",,+444,+10.5%,85
Bx6Lcl/SBS,3,"23,800","22,896","22,824","21,699","14,177","11,259",,"-2,918",-20.6%,17
Bx7,,"13,720","13,558","13,257","13,418","8,501","8,217",,-284,-3.3%,30
Bx8,,"7,282","6,918","6,356","6,248","3,126","3,731",,+605,+19.4%,107
Bx9,,"27,175","25,251","23,180","21,840","13,060","13,296",,+236,+1.8%,12
Bx10,,"11,266","10,858","10,358","9,937","5,618","5,861",,+243,+4.3%,61
Bx11,,"14,269","13,087","11,536","10,638","6,487","6,005",,-482,-7.4%,60
Bx12Lcl/SBS,,"48,124","46,104","42,377","40,260","23,937","21,857",,"-2,080",-8.7%,2
Bx13,,"12,094","11,395","10,217","9,754","6,457","5,625",,-832,-12.9%,64
Bx15,,"28,156","25,145","21,777","20,579","12,286","10,159",,"-2,127",-17.3%,21
Bx16,,"8,239","7,834","7,026","6,981","3,976","3,826",,-150,-3.8%,102
Bx17,,"10,219","9,391","8,187","7,316","4,287","4,293",,+6,+0.1%,98
Bx18,,"1,920","1,763","1,580","1,420",877,749,,-128,-14.6%,169
Bx19,,"29,378","26,454","23,259","21,475","16,463","12,763",,"-3,700",-22.5%,14
Bx20,,772,754,813,868,351,367,,+16,+4.6%,181
